--- 
ACS1.0: Wed Apr  3 18:18:49 2024
Mission: Frontier Cruiser
QSP: CF-Z2S111 
Cx: 
Vx: B5 N5
Name: Stanislaw
Tons: 4800
TL: 20 
Undertonnage: 130
MCr: 5130.8
Builder: Piorabanti
Owner: Baraccai Technum
Disposition: Detached Duty
Allegiance: ImBT

Crew comfort: 0
Passengers: 0
Passenger demand: -5
Low berths: 
Cargo: 400
Fuel: 801
Fuel treatment: SP,BP,IP
Computer: Model/9 fib

Comments: |-
   Using a 4800-ton, TL20 hull, the Stanislaw Class Frontier Cruiser mounts jump drive-Z, maneuver drive-Z9, and power plant-Z9, giving a performance of jump-1 and 11G acceleration. Fuel tankage supports a 1 parsec jump, at 398t per parsec, and one month of operations. Attached to the bridge is a Computer Model/9 fib. There are 40 staterooms and no low berths. Installed weaponry include 1 Bay Particle Accelerator, 1 Bay CommCaster, 1 Bay Meson Gun, 1 Bay KK Missile, 1 Bay AM Missile, 1 Bay DataCaster, 1 Bay Stasis, 1 Bay Fusion Gun, 1 Bay Pulse Laser, 1 Bay Beam Laser, 1 Bay Sandcaster, 1 Bay Jump Damper, 1 Bay Tractor/Pressor, and 1 Bay Disruptor. Cargo capacity is 400 tons. The ship has a streamlined hull, with scoops, intakes, and bins for frontier refueling. 
   
   Carried craft include 5 Pinnace + Hangar spaces, and 5 Gig + Hangar spaces. The ship has 42 crew. 
 -    15   . DS B1de EMS                        31.0  ,SS.1  2 .....
 -    15   . DS B1de Stealth Mask               31.0  ,SS.1  2 .....
 -    15   . DS B1de Grav Sensor                31.0  ,SS.1  2 .....
 -    15   . DS B1de HoloVisor                  31.0  ,SS.1  2 .....
 -    15   . DS B1de CommPlus                   31.0  ,SS.1  2 .....
 -    10   . LR B1de Scanner                    19.0  ,SS.1  2 .....
#
#   TONS   # W-SENSORS                           MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    12   . G Ext Mass Sensor                   8.1  ,WS.1  4 .....
 -    12   . G Ext Deep Radar                    8.1  ,WS.1  4 .....
 -    12   . G Ext Densitometer                  8.1  ,WS.1  4 .....
 -    12   . G Ext Life Detector                 8.1  ,WS.1  4 .....
 -    12   . G Ext Proximeter                    8.1  ,WS.1  4 .....
 -    12   . G Ext Activity Sensor               8.1  ,WS.1  4 .....
 -    12   . G Ext Field Sensor                  8.1  ,WS.1  4 .....
#
#   TONS   # WEAPONS                             MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    50   . AR Bay Particle Accelerator         7.5  ,WW.1  5 .....
 -    50   . AR Bay CommCaster                  10.0  ,WW.1  5 .....
 -   100   . LR Bay Meson Gun                   20.0  ,WW.1  5 .....
 -   150   . DS Bay KK Missile                  28.0  ,WW.1  5 .....
 -    50   . AR Bay AM Missile                  10.0  ,WW.1  5 .....
 -    50   . Vd Bay DataCaster                   6.0  ,WW.1  5 .....
 -    25   . D Bay Stasis                        7.5  ,WW.1  5 .....
 -    50   . Vd Bay Fusion Gun                   6.5  ,WW.1  5 .....
 -    50   . Vd Bay Pulse Laser                  5.3  ,WW.1  5 .....
 -    50   . Vd Bay Beam Laser                   5.5  ,WW.1  5 .....
 -    50   . Vd Bay Sandcaster                   5.1  ,WW.1  5 .....
 -    50   . Vd Bay Jump Damper                 20.0  ,WW.1  5 .....
 -   100   . Or Bay Tractor/Pressor             20.0  ,WW.1  5 .....
 -   100   . Or Bay Disruptor                   30.0  ,WW.1  5 .....
 -    10 10x Magazine                            0.0  ,WM.0  . .....
#
#   TONS   # DEFENSES                            MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    51   . Bay Meson Screen                    6.0  ,DD.1  5 .....
 -    52   . Bay Nuclear Damper                  6.0  ,DD.1  5 .....
 -    51   . Bay Mag Scrambler                   6.0  ,DD.1  5 .....
 -    51   . Bay Black Globe                     9.0  ,DD.1  5 .....
 -    51   . Bay Grav Scrambler                  7.0  ,DD.1  5 .....
 -    51   . Bay Proton Screen                   6.0  ,DD.1  5 .....
 -    51   . Bay White Globe                    15.0  ,DD.1  5 .....
#
#   TONS   # CREW                                MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    48  8x Officer Suite                       3.2  ,CS.1  1 .....
 -    80 20x Crew Commons                        0.0  ,CC.0  . .....
 -    80 40x Crew Stateroom                      4.0  ,CS.0  1 .....
 -     4  4x Crew Common Fresher                 4.0  ,CF.0  2 .....
#
#   TONS   # PAYLOAD                             MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    10 10x Emergency Low Berth                 5.0  ,PL.0  . .....
 -     1   . Mail Vault                          1.0  ,PO.0  . .....
 -     9   . Large Cargo Lock                    1.8  ,PO.1  . .....
 -   400   . Cargo Hold Basic                    0.0  ,PC.0  . .....
#
#   TONS   # VEHICLES                            MCR   CODE  R QREBS
#  ----- --- -------------------------------- ------  ,---- -- -----
 -    10   . Hangar Lock                         0.0  ,VO.1  . .....
 -   400  5x Pinnace + Hangar space             95.0  ,VO.0 MF .....
 -   200  5x Gig + Hangar space                 90.0  ,VO.0 LM .....

ref: [<a href='http://www.farfuture.net/'>Far Future Enterprises</a>]

